,img,instruction,block_n,animacy,style,img_name,verb
24,/static/object_pics/picture_fruit/watermelon.jpg,semantic,1,inanimate,photo,watermelon.jpg,fall
25,/static/object_pics/drawing_fruit/pomegranate.jpg,semantic,1,inanimate,drawing,pomegranate.jpg,build
26,/static/object_pics/picture_veggie/corn.jpg,perceptual,1,inanimate,photo,corn.jpg,locate
27,/static/object_pics/drawing_bird/vulture.jpg,perceptual,1,animate,drawing,vulture.jpg,deposit
28,/static/object_pics/picture_veggie/artichoke.jpg,perceptual,1,inanimate,photo,artichoke.jpg,bump
29,/static/object_pics/picture_insect/dragonfly.jpg,perceptual,1,animate,photo,dragonfly.jpg,splash
30,/static/object_pics/drawing_electronic/satellite dish.jpg,semantic,1,inanimate,drawing,satellite dish.jpg,paint
31,/static/object_pics/drawing_insect/ant.jpg,semantic,1,animate,drawing,ant.jpg,expand
32,/static/object_pics/picture_clothe/belt.jpg,semantic,2,inanimate,photo,belt.jpg,twitch
33,/static/object_pics/drawing_mammal/elephant.jpg,semantic,2,animate,drawing,elephant.jpg,mount
34,/static/object_pics/drawing_electronic/phone.jpg,perceptual,2,inanimate,drawing,phone.jpg,draw
35,/static/object_pics/drawing_insect/beetle.jpg,perceptual,2,animate,drawing,beetle.jpg,press
36,/static/object_pics/drawing_clothe/tie.jpg,perceptual,2,inanimate,drawing,tie.jpg,identify
37,/static/object_pics/drawing_clothe/sock.jpg,semantic,2,inanimate,drawing,sock.jpg,hit
38,/static/object_pics/drawing_veggie/cauliflower.jpg,perceptual,2,inanimate,drawing,cauliflower.jpg,tear
39,/static/object_pics/picture_bird/pelican.jpg,semantic,2,animate,photo,pelican.jpg,chop
40,/static/object_pics/drawing_mammal/elephant.jpg,perceptual,2,animate,drawing,elephant.jpg,mount
41,/static/object_pics/picture_clothe/belt.jpg,perceptual,2,inanimate,photo,belt.jpg,twitch
42,/static/object_pics/drawing_clothe/sock.jpg,perceptual,2,inanimate,drawing,sock.jpg,hit
43,/static/object_pics/drawing_clothe/tie.jpg,semantic,2,inanimate,drawing,tie.jpg,identify
44,/static/object_pics/picture_bird/pelican.jpg,perceptual,2,animate,photo,pelican.jpg,chop
45,/static/object_pics/drawing_veggie/cauliflower.jpg,semantic,2,inanimate,drawing,cauliflower.jpg,tear
46,/static/object_pics/drawing_insect/beetle.jpg,semantic,2,animate,drawing,beetle.jpg,press
47,/static/object_pics/drawing_electronic/phone.jpg,semantic,2,inanimate,drawing,phone.jpg,draw
48,/static/object_pics/drawing_insect/mantis.jpg,semantic,3,animate,drawing,mantis.jpg,lift
49,/static/object_pics/drawing_electronic/hairdryer.jpg,perceptual,3,inanimate,drawing,hairdryer.jpg,attach
50,/static/object_pics/picture_bird/hen.jpg,perceptual,3,animate,photo,hen.jpg,clap
51,/static/object_pics/drawing_mammal/giraffe.jpg,semantic,3,animate,drawing,giraffe.jpg,cut
52,/static/object_pics/drawing_mammal/lion.jpg,semantic,3,animate,drawing,lion.jpg,discover
53,/static/object_pics/picture_mammal/kangaroo.jpg,semantic,3,animate,photo,kangaroo.jpg,divide
54,/static/object_pics/picture_sea/seaturtle.jpg,perceptual,3,animate,photo,seaturtle.jpg,assemble
55,/static/object_pics/picture_mammal/horse.jpg,perceptual,3,animate,photo,horse.jpg,cover
56,/static/object_pics/drawing_mammal/lion.jpg,perceptual,3,animate,drawing,lion.jpg,discover
57,/static/object_pics/drawing_mammal/giraffe.jpg,perceptual,3,animate,drawing,giraffe.jpg,cut
58,/static/object_pics/drawing_electronic/hairdryer.jpg,semantic,3,inanimate,drawing,hairdryer.jpg,attach
59,/static/object_pics/picture_bird/hen.jpg,semantic,3,animate,photo,hen.jpg,clap
60,/static/object_pics/drawing_insect/mantis.jpg,perceptual,3,animate,drawing,mantis.jpg,lift
61,/static/object_pics/picture_sea/seaturtle.jpg,semantic,3,animate,photo,seaturtle.jpg,assemble
